Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Kelly Mazzante,CHA,G,34,339,34,0,10.0,0.9,2.7,.337,0.4,1.5,.250,0.5,1.2,.450,0.1,0.2,.667,0.3,1.0,0.3,0.2,0.1,0.6,0.6,2.3
Stephanie White,IND,G-F,22,450,22,12,20.5,1.2,3.3,.375,0.6,1.8,.333,0.6,1.5,.424,1.1,1.5,.706,0.4,1.3,2.4,1.1,0.2,1.4,1.4,4.1
Nikki McCray,PHO,G,27,371,27,9,13.7,1.1,2.5,.448,0.2,0.4,.455,0.9,2.1,.446,0.1,0.3,.571,0.4,1.1,0.5,0.3,0.0,0.7,1.3,2.6
Teana Miller,CHA,C,9,77,9,0,8.6,1.6,3.0,.519,0.0,0.0,,1.6,3.0,.519,0.8,1.6,.500,1.0,2.0,0.0,0.2,0.7,0.6,2.3,3.9
Taj McWilliams-Franklin,CON,F-C,34,1133,34,34,33.3,4.9,10.4,.477,0.0,0.4,.000,4.9,10.0,.494,2.3,3.8,.602,2.4,7.2,1.9,1.4,1.3,2.1,2.8,12.1
Chasity Melvin,WAS,C-F,34,825,34,16,24.3,3.1,7.5,.406,0.0,0.0,,3.1,7.5,.406,2.5,3.3,.766,1.9,3.9,1.1,0.4,0.5,1.5,2.6,8.6
Giuliana Mendiola,SAC,G,6,39,6,0,6.5,0.7,1.3,.500,0.3,0.8,.400,0.3,0.5,.667,0.0,0.0,,0.3,0.8,0.5,0.0,0.0,0.5,0.3,1.7
Coco Miller,WAS,G,33,637,33,8,19.3,2.2,5.1,.431,0.2,0.6,.263,2.0,4.5,.453,0.3,0.4,.786,1.1,1.9,1.3,0.5,0.1,0.8,1.8,4.8
Kelly Miller,IND,G,34,1096,34,34,32.2,3.7,9.6,.387,1.4,3.3,.411,2.4,6.3,.374,1.5,1.7,.877,0.8,3.2,3.1,1.1,0.1,2.2,2.4,10.2
DeLisha Milton-Jones,LAS,F,19,604,19,19,31.8,3.4,8.5,.404,0.6,1.9,.297,2.8,6.5,.435,2.4,3.3,.726,1.8,4.7,1.6,1.2,0.5,2.5,3.3,9.8
Tamara Moore,PHO,G,32,387,32,0,12.1,0.8,1.9,.443,0.1,0.3,.300,0.8,1.6,.471,0.8,0.9,.862,0.2,0.9,1.7,0.8,0.3,1.1,1.4,2.6
Astou Ndiaye-Diatta,IND,F,10,74,10,0,7.4,0.5,1.9,.263,0.0,0.0,,0.5,1.9,.263,0.2,0.4,.500,0.2,1.1,0.4,0.1,0.3,0.8,0.7,1.2
Deanna Nolan,DET,G-F,34,1138,34,34,33.5,4.9,12.8,.382,1.0,3.4,.289,3.9,9.4,.414,2.9,3.6,.798,0.9,3.9,3.3,1.9,0.4,2.6,2.2,13.6
Nicole Ohlde,MIN,F-C,34,1018,34,34,29.9,4.0,9.1,.442,0.0,0.1,.000,4.0,9.0,.444,3.7,5.2,.706,2.4,5.7,1.8,0.5,1.3,2.2,3.0,11.7
Murriel Page,WAS,F,33,809,33,19,24.5,2.5,5.3,.463,0.0,0.1,.000,2.5,5.2,.471,0.7,1.2,.550,1.2,4.2,1.1,0.8,0.5,0.9,2.6,5.6
Wendy Palmer,CON,F,33,786,33,33,23.8,3.3,7.7,.427,0.4,1.2,.317,2.9,6.4,.448,2.1,2.6,.800,1.4,5.5,0.9,0.7,0.2,1.2,2.3,9.0
Ticha Penicheiro,SAC,G,33,970,33,32,29.4,1.9,5.4,.354,0.7,2.1,.338,1.2,3.3,.364,1.5,2.1,.714,0.4,3.1,4.9,1.9,0.1,2.2,1.9,6.0
Jocelyn Penn,SAS,F,1,3,1,0,3.0,2.0,2.0,1.000,0.0,0.0,,2.0,2.0,1.000,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
Jia Perkins,CHA,G,4,17,4,0,4.3,0.0,1.3,.000,0.0,0.0,,0.0,1.3,.000,0.8,1.0,.750,0.3,0.8,0.3,0.8,0.0,0.3,0.5,0.8
Tari Phillips,NYL,F-C,13,311,13,13,23.9,2.5,7.3,.347,0.0,0.0,,2.5,7.3,.347,1.6,3.5,.457,2.2,5.4,1.2,1.1,0.8,2.5,3.2,6.7
Plenette Pierson,PHO,F,31,803,31,25,25.9,3.6,8.2,.443,0.0,0.1,.000,3.6,8.1,.448,2.1,3.5,.606,1.5,4.2,0.8,0.8,0.5,1.6,3.3,9.4
Elaine Powell,DET,G,30,760,30,26,25.3,1.7,4.6,.377,0.0,0.0,,1.7,4.6,.377,1.0,1.7,.580,1.0,2.8,4.5,1.2,0.3,2.0,2.2,4.4
Nicole Powell,CHA,F,31,384,31,0,12.4,1.6,3.9,.413,0.8,1.9,.414,0.8,2.0,.413,0.3,0.3,.800,0.3,2.3,0.5,0.5,0.1,0.7,1.2,4.3
Felicia Ragland,HOU,G,34,517,34,10,15.2,1.3,3.5,.367,0.6,1.4,.388,0.7,2.1,.352,0.3,0.4,.846,0.6,2.0,1.1,0.7,0.1,0.9,1.4,3.5
Semeka Randall,SAS,G,29,462,29,8,15.9,1.8,4.9,.371,0.0,0.2,.000,1.8,4.8,.384,1.0,1.7,.625,0.9,2.1,0.7,0.8,0.1,1.0,1.4,4.7
Kristen Rasmussen,IND,F,33,692,33,4,21.0,1.7,4.1,.415,0.3,0.8,.370,1.4,3.3,.426,0.9,1.2,.789,1.2,3.4,1.4,0.6,0.4,1.1,1.5,4.6
Ruth Riley,DET,C,34,1037,34,34,30.5,4.5,10.1,.446,0.0,0.1,.500,4.5,10.0,.446,2.1,2.6,.816,2.0,5.9,1.5,0.9,1.6,2.4,3.6,11.1
Ashley Robinson,PHO,C,19,130,19,0,6.8,0.4,0.7,.500,0.0,0.1,.000,0.4,0.7,.538,0.2,0.4,.429,0.2,0.7,0.1,0.4,0.5,0.2,1.2,0.9
Crystal Robinson,NYL,F,28,890,28,27,31.8,4.4,10.0,.437,2.0,5.1,.382,2.4,4.8,.496,1.4,1.5,.930,0.7,3.0,2.1,0.9,0.3,1.2,2.8,12.1
Nykesha Sales,CON,F-G,34,1096,34,34,32.2,6.2,14.3,.432,1.2,3.8,.318,5.0,10.5,.473,1.6,2.3,.727,1.0,4.0,2.9,2.2,0.2,2.2,2.9,15.2
Sheri Sam,SEA,G-F,34,1018,34,32,29.9,3.4,8.4,.412,0.3,1.2,.262,3.1,7.1,.438,1.9,2.2,.855,1.2,4.1,2.4,1.6,0.2,1.9,3.2,9.1
Isabel Sanchez,DET,G,10,62,10,0,6.2,0.6,1.4,.429,0.2,0.5,.400,0.4,0.9,.444,0.8,1.1,.727,0.3,0.5,0.3,0.2,0.0,1.1,0.6,2.2
Nakia Sanford,WAS,C-F,31,653,31,29,21.1,2.0,4.1,.500,0.0,0.0,,2.0,4.1,.500,1.4,2.4,.573,1.7,5.0,0.6,0.6,0.5,1.2,3.2,5.5
Kelly Schumacher,IND,C,32,601,32,7,18.8,2.9,6.1,.469,0.2,0.4,.385,2.7,5.7,.475,1.1,1.4,.778,1.1,3.3,0.8,0.3,1.0,1.6,2.1,7.0
Olympia Scott,CHA,C,34,398,34,0,11.7,0.8,2.0,.403,0.0,0.0,.000,0.8,1.9,.409,0.6,0.9,.594,0.8,1.9,0.3,0.3,0.4,1.1,2.3,2.1
K.B. Sharp,NYL,G,30,240,30,0,8.0,0.3,1.2,.243,0.0,0.4,.000,0.3,0.8,.360,0.4,0.4,.917,0.2,0.7,1.1,0.2,0.0,0.7,0.2,1.0
Gwen Slaughter,MIN,F,3,7,3,0,2.3,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,0.7,0.7,1.000,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.7
Aiysha Smith,WAS,F,29,403,29,3,13.9,1.4,3.6,.408,0.3,0.6,.563,1.1,3.0,.379,0.8,1.2,.647,0.9,2.4,0.5,0.6,0.4,0.7,1.3,4.0
Charlotte Smith,CHA,F,34,977,34,34,28.7,2.9,6.1,.481,0.9,1.7,.500,2.1,4.4,.473,1.6,2.1,.726,1.5,4.1,1.2,0.5,0.4,1.6,3.2,8.2
Katie Smith*,MIN,G,23,800,23,23,34.8,6.0,13.8,.431,2.6,6.0,.432,3.3,7.8,.430,4.3,4.7,.899,0.7,3.7,2.3,1.0,0.3,2.2,2.7,18.8
Tangela Smith,SAC,C,34,908,34,33,26.7,4.9,11.8,.411,0.1,0.9,.172,4.7,10.9,.430,1.3,1.6,.804,1.4,4.1,1.5,1.1,0.7,1.6,2.5,11.2
Michelle Snow,HOU,C,31,893,31,31,28.8,3.4,7.4,.454,0.0,0.0,,3.4,7.4,.454,2.2,3.6,.602,2.0,7.7,1.0,0.9,1.1,2.3,2.9,8.9
Dawn Staley*,CHA,G,34,1143,34,34,33.6,3.1,7.2,.431,0.7,1.7,.407,2.4,5.5,.439,1.9,2.6,.759,0.4,1.7,5.0,1.3,0.1,2.2,2.4,8.9
Kate Starbird,IND,F-G,12,117,12,0,9.8,0.5,1.9,.261,0.3,0.8,.300,0.3,1.1,.231,0.4,0.5,.833,0.5,0.8,0.9,0.5,0.0,0.8,0.6,1.7
Stacy Stephens,DET,C,7,36,7,1,5.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,0.0,0.3,.000,0.3,1.3,0.4,0.0,0.0,0.3,1.0,0.6
Mandisa Stevenson,SAS,F-C,29,259,29,0,8.9,0.5,1.6,.333,0.0,0.0,1.000,0.5,1.5,.318,0.2,0.3,.875,0.4,1.2,0.2,0.2,0.1,0.4,1.1,1.3
Andrea Stinson,CHA,G,34,777,34,34,22.9,2.3,5.6,.414,0.3,1.1,.297,2.0,4.5,.442,1.0,1.3,.773,0.7,3.5,1.4,0.8,0.2,1.2,1.8,6.0
Tammy Sutton-Brown,CHA,C,34,970,34,34,28.5,3.1,6.6,.473,0.0,0.0,,3.1,6.6,.473,3.3,4.8,.698,1.9,6.2,0.4,0.9,2.1,2.1,3.3,9.6
