league,lg,season,season_start_year,player_name,player_id,team,pos,g,mp_per_game,pts_per_game,ast_per_game,trb_per_game,orb_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,ft_per_game,fta_per_game,ft_percent,stl_per_game,blk_per_game,tov_per_game,pf_per_game,draft_year,draft_round,draft_pick,draft_team,college,rookie_season_start_year,career_year,GS
WNBA,WNBA,1997-98,1997,Cynthia Cooper*,,HOU,G,28,35.1,22.2,4.7,4.0,1.2,6.8,14.5,0.47,2.4,5.8,0.414,4.4,8.7,0.508,6.1,7.1,0.864,2.1,0.2,3.9,2.4,,,,,,1997,1.0,28
WNBA,WNBA,1997-98,1997,Karen Booker,,UTA,C,26,12.3,2.3,0.9,3.1,1.3,0.8,2.3,0.333,0.0,0.1,0.0,0.8,2.2,0.351,0.8,1.4,0.568,0.9,0.6,1.9,2.4,,,,,,1997,1.0,4
WNBA,WNBA,1997-98,1997,Ruthie Bolton,,SAC,G,23,35.3,19.4,2.6,5.8,1.3,7.1,17.7,0.402,2.9,8.3,0.344,4.3,9.4,0.454,2.3,3.0,0.768,2.3,0.0,2.5,3.1,,,,,,1997,1.0,23
WNBA,WNBA,1997-98,1997,Rhonda Blades,,NYL,G,28,10.4,2.9,1.1,0.8,0.2,0.9,2.5,0.357,0.6,1.9,0.315,0.3,0.6,0.5,0.5,0.7,0.65,0.5,0.0,1.4,2.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Ryneldi Becenti,,PHO,G,1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.0,0.0,1.0,0.0,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Elena Baranova,,UTA,F,28,32.6,12.2,2.2,7.4,2.0,4.6,11.8,0.39,1.4,3.8,0.377,3.2,8.0,0.396,1.5,2.2,0.694,1.5,2.3,2.9,2.9,,,,,,1997,1.0,27
WNBA,WNBA,1997-98,1997,Marlies Askamp,,PHO,C,28,18.5,7.5,0.8,5.2,2.4,2.5,6.4,0.393,0.0,0.0,0.0,2.5,6.3,0.395,2.5,3.3,0.763,0.8,0.3,1.6,2.1,,,,,,1997,1.0,1
WNBA,WNBA,1997-98,1997,Katasha Artis,,CHA,F,20,5.7,0.8,0.4,0.8,0.1,0.2,0.8,0.25,0.0,0.1,0.0,0.2,0.8,0.267,0.4,0.8,0.533,0.3,0.1,0.6,0.7,,,,,,1997,1.0,0
WNBA,WNBA,1997-98,1997,Janeth Arcain,,HOU,G,28,28.0,10.9,1.6,3.9,1.5,3.9,8.9,0.44,0.3,1.2,0.273,3.6,7.8,0.465,2.7,3.0,0.894,1.5,0.1,2.4,2.0,,,,,,1997,1.0,27
WNBA,WNBA,1997-98,1997,Yvette Angel,,SAC,G,5,18.0,2.8,2.2,1.8,0.4,1.4,3.2,0.438,0.0,1.0,0.0,1.4,2.2,0.636,0.0,0.6,0.0,0.8,0.2,1.6,1.2,,,,,,1997,1.0,3
